"id","campaignid","sample","family","genus","species","length","number","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Coris","auricularis",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Stethojulis","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Suezichthys","cyanolaemus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Labridae","Unknown","na",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Gymnocranius","grandoculis",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Gymnocranius","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Lethrinus","miniatus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Lethrinus","nebulosus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lethrinidae","Lethrinus","ravus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lutjanidae","Pristipomoides","multidens",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lutjanidae","Pristipomoides","spp",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Lutjanidae","Pristipomoides","typus",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Monacanthidae","Nelusetta","ayraud",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Mullidae","Parupeneus","chrysopleuron",NA,0,NA,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Y","Y"
