"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Coris","auricularis",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Labridae","Suezichthys","cyanolaemus",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Lethrinidae","Lethrinus","nebulosus",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Mullidae","Parupeneus","spilurus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Nemipteridae","Pentapodus","nagasakiensis",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Pomacanthidae","Chaetodontoplus","personifer",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Pomacentridae","Chromis","spp",15
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","Sparidae","Chrysophrys","auratus",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Chaetodontidae","Chaetodon","assarius",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Haemulidae","Diagramma","pictum labiosum",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Labridae","Coris","auricularis",130
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Labridae","Unknown","spp",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Lethrinidae","Lethrinus","miniatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","Urolophidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Carangidae","Seriola","hippos",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Haemulidae","Diagramma","pictum labiosum",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Labridae","Choerodon","rubescens",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Labridae","Coris","auricularis",67
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Labridae","Suezichthys","cyanolaemus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Lethrinidae","Lethrinus","miniatus",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Mullidae","Parupeneus","spilurus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","Pomacentridae","Chromis","spp",55
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Acanthuridae","Acanthurus","olivaceus",4
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Acanthuridae","Acanthurus","xanthopterus",4
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Carangidae","Carangoides","fulvoguttatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Carangidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Chaetodontidae","Chaetodon","auriga",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Chaetodontidae","Chaetodon","lunula",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Anampses","caeruleopunctatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Anampses","geographicus",4
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Bodianus","bilunulatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Choerodon","rubescens",6
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Coris","auricularis",51
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Coris","caudimacula",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Labroides","dimidiatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Suezichthys","cyanolaemus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Thalassoma","lutescens",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Labridae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","miniatus",5
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","nebulosus",2
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Lethrinidae","Lethrinus","ravus",4
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Monacanthidae","Unknown","sp1",1
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Mullidae","Parupeneus","spilurus",12
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","Pomacanthidae","Pomacanthus","semicirculatus",1
