"campaignid","sample","family","genus","species","maxn"
"2021-05_Abrolhos_stereo-BRUVs","npz9.21","Lutjanidae","Pristipomoides","multidens",6
"2021-05_Abrolhos_stereo-BRUVs","npz9.21","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.21","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.22","Carangidae","Unknown","sp10",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.22","Carcharhinidae","Galeocerdo","cuvier",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.22","Labridae","Unknown","spp",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.22","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.22","Lutjanidae","Pristipomoides","multidens",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Gerreidae","Parequula","melbournensis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Labridae","Coris","auricularis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Labridae","Stethojulis","sp1",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Lethrinidae","Gymnocranius","grandoculis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Monacanthidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","SUS","SUS","sus",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Triakidae","Hemitriakis","falcata",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Triakidae","Mustelus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Unknown","Unknown","sp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.24","Unknown","Unknown","sp1",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.25","Lutjanidae","Pristipomoides","multidens",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.25","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.25","Sparidae","Chrysophrys","auratus",5
"2021-05_Abrolhos_stereo-BRUVs","npz9.25","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.25","Triakidae","Hemitriakis","falcata",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Carangidae","Decapterus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Haemulidae","Diagramma","pictum labiosum",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Lethrinidae","Lethrinus","miniatus",8
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Sparidae","Chrysophrys","auratus",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.26","Triakidae","Hemitriakis","falcata",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Carangidae","Seriola","dumerili",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Labridae","Bodianus","solatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Lutjanidae","Pristipomoides","multidens",5
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Lutjanidae","Pristipomoides","typus",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Monacanthidae","Eubalichthys","caeruleoguttatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Serranidae","Epinephelus","areolatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.27","Sparidae","Chrysophrys","auratus",10
"2021-05_Abrolhos_stereo-BRUVs","npz9.28","Lutjanidae","Pristipomoides","multidens",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.28","Pinguipedidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.28","Sparidae","Chrysophrys","auratus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.28","Unknown","Unknown","unknown",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.29","Carangidae","Decapterus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.29","Carangidae","Pseudocaranx","spp",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.29","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.29","Sparidae","Chrysophrys","auratus",23
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Gerreidae","Pentaprion","longimanus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Labridae","Coris","auricularis",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Lethrinidae","Gymnocranius","grandoculis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.3","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","Carangidae","Seriola","dumerili",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","Glaucosomatidae","Glaucosoma","buergeri",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","Lethrinidae","Lethrinus","miniatus",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","Pinguipedidae","Parapercis","nebulosa",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.30","SUS","SUS","sus",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.4","Carangidae","Seriola","dumerili",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.4","Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.4","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.4","Unknown","Unknown","unknown",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Apogonidae","Ostorhinchus","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Chaetodontidae","Chaetodon","assarius",51
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Labridae","Bodianus","bilunulatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Labridae","Bodianus","solatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Labridae","Coris","auricularis",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Lethrinidae","Lethrinus","nebulosus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Mullidae","Parupeneus","chrysopleuron",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Mullidae","Parupeneus","spilurus",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Muraenidae","Gymnothorax","thyrsoideus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Muraenidae","Gymnothorax","woodwardi",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Muraenidae","Unknown","spp",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Pomacentridae","Chromis","spp",22
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Scaridae","Scarus","sp3",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.5","Sparidae","Chrysophrys","auratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.7","Carcharhinidae","Carcharhinus","albimarginatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.7","Sparidae","Chrysophrys","auratus",9
"2021-05_Abrolhos_stereo-BRUVs","npz9.7","Tetraodontidae","Lagocephalus","sceleratus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.7","Tetraodontidae","Unknown","sp1",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Carangidae","Pseudocaranx","spp",9
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Carangidae","Seriola","dumerili",4
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Carangidae","Unknown","sp10",3
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Carcharhinidae","Carcharhinus","plumbeus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Glaucosomatidae","Glaucosoma","buergeri",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Labridae","Bodianus","solatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Lethrinidae","Gymnocranius","grandoculis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Lethrinidae","Lethrinus","miniatus",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.8","Sparidae","Chrysophrys","auratus",5
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Carangidae","Seriola","dumerili",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Carangidae","Seriola","hippos",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Dasyatidae","Taeniurops","meyeni",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Labridae","Stethojulis","spp",2
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Lethrinidae","Lethrinus","miniatus",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Nemipteridae","Pentapodus","nagasakiensis",1
"2021-05_Abrolhos_stereo-BRUVs","npz9.9","Rachycentridae","Rachycentron","canadum",1
